ORG;Oco
Núcleo de Investigação em Politicas Económicas;1
Academia Mexicana de Ciências Administrativas;1
European Journal of Finance;1
The International Journal of Business;1
Finance India;1
Conferência Internacional de o Portuguese Finance Network;1
European Financial Management Association Conference;1
Multinacional Finance Society;1
MFS;1
European Finance Association;1
EFA;1
London Business School;1
Estratégia Nacional de Investigação e Inovação para um Especialização Inteligente 2014-2020;1
FOX Sports;1
TV2 Denmark;1
AEP;1
RTP;1
SBS Radio Australia;1
Comunicação Social?;1
Rádio Clube de Penafiel;1
Radio Australia;1
Fox Sports;1
Economia ou Cultura;1
FC Porto;1
universidade de Princeton;1
B.A.;1
Universidade de Yale;1
Comércio Internacional;1
The Sting;1
Times Higher Education;1
Comissão Europeia;1
ITNs;1
Iberoamericano;1
CYTED;1
Massachusetts Institute of Technology;1
CMU;1
Carnegie Mellon University;1
Harvard Medical School;1
Agência Nacional de Inovação;1
Bosch;1
CCG;1
Centro Clínico Académico;1
Instituto de Design de Guimarães;1
SpinPark;1
Universidade de Princeton;1
Alumni UMinho;1
Gabinete de Comunicação, Informação e Imagem de o UMinho;1
Departamento de Ciências de o Comunicação de o Instituto de Ciências Sociais de o UMinho;1
Comunicação e Sociedade;1
Lusofonia;1
Igreja;1
Movimento de o Forças Armadas;1
Universidade de Ciências Humanas;1
Seminário;1
Comissão Organizadora de o Colóquio o Estado Novo;1
Expresso;1
Estado novo;1
Universidade Técnica;1
Associação Portuguesa de Ciências de o Comunicação;1
Federação Lusófona de Ciências de o Comunicação (Lusocom;1
Governo Sombra;1
COP21;1
Business and Industry Non-Governamental Organizations;1
The Guardian;1
Acordo;1
Centro de Estudos de Comunicação e Sociedade;1
RESCLIMA;1
Acção COST;1
Secção de Comunicação de Ciência;1
Associação Europeia de Investigação e Educação em Comunicação;1
Associação Internacional de Comunicação Ambiental;1
Academia Real de o Ciências de o Suécia;1
Comunicação e Envolvimento Político;1
Agência Portuguesa de o Ambiente;1
Movimento de Transição;1
The New York Times;1
Relatório de Sustentabilidade;1
G4;1
Estatutos;1
Plano Estratégico de o UMinho;1
Relatório de Sustentabilidade 2014;1
Sistema de Apoios;1
Agência de o UMinho para o Energia e Ambiente;1
AUMEA;1
Departamento de Música;1
GID;1
Comunidade Económica Europeia;1
POCI;1
Gestão de Projeto;1
Organização Mundial de o Saúde;1
Escola de Psicologia de o Universidade de o Minho;1
