ORG;Oco
Seleção Nacional Universitária;4
ONU;4
Gabinete de Inserção Profissional;4
Associação Académica?;4
Serviços de Documentação de o Universidade de o Minho;4
TMUM?;4
CIBE;4
Setor de Alojamento;4
Mestrado Integrado em;4
SHSA;4
Sistema Interno de Garantia de o Qualidade;4
Fundação para a Ciência e Tecnologia;4
Fundo Social de emergência;4
Comissão Permanente;4
Escolas e Institutos;4
AAEUM?;4
Taekwondo?;4
Tuna Académica Feminina de o Universidade de o Minho;4
Tun’ao Minho;4
Nike;4
Grupo Folclórico de o Universidade de o Minho;4
Instituto Europeu de Excelência em Engenharia de Tecidos e Medicina Regenerativa;4
Gabinete de Apoio a o Empreendedorismo;4
FAP;4
Governo?;4
Lions Clube de Braga;4
Fundação?;4
Fundação;4
Licenciatura em Arqueologia;4
Capital Verde Europeia;4
APOGESD;4
Gabinete de o Provedor de o Estudante;4
Sociedade Portuguesa de Biomecânica;4
Engenharia Mecânica;4
COAR;4
UC’s;4
APCER;4
MBA;4
Universidade Mais Ativa de o Europa;4
Plano;4
Divisão;4
AAUBI;4
Divisão de Apoio a o Bem-Estar de o Estudante;4
CT;4
Departamento de Apoio;4
DAA;4
EMUM;4
Grupo de Música Popular de o Universidade de o Minho;4
Rádio;4
Comité Executivo de o FISU;4
Núcleo de Estudos de Engenharia Biológica;4
Gabinete de Comunicação, Informação e Imagem;4
Direcção Geral de o Ensino Superior;4
Caixa Geral de Aposentações;4
HACCP;4
FISEC;4
Directora;4
Associação de Estudantes de o Escola Superior de Enfermagem Calouste Gulbenkian;4
Escola de enfermagem;4
AEESECG?;4
Desportivo;4
SA;4
Europeu Universitário de Taekwondo;4
Responsável de o Unidade;4
GF;4
UEFA;4
Tuna de Medicina de o Porto;3
P;3
Núcleo de Estudantes de Medicina de o Universidade de o Minho;3
Coro Académico de o UMinho;3
ERC;3
I3B’s;3
Engenharia Civil;3
Estudantes de o UMinho;3
AAUMinho;3
Associação de Debates Académicos de o Universidade de o Minho;3
Minho Investiment Association;3
Fábrica Confiança;3
Escola de psicologia;3
Plano de Atividades;3
Conselho Fiscal;3
Escola de Direito de o Universidade de o Minho;3
PREVPAP;3
Conselho de Reitores de o Universidades Portuguesas;3
Associação Recreativa e Cultural de o Universidade de o Minho;3
Departamento de Química;3
OCDE;3
Conselho de Reitores;3
CCG;3
UP;3
Times Higher Education;3
CEB;3
Deloitte;3
CEHUM;3
Engenharia Têxtil;3
Conselho de Gestão de o Universidade;3
Associação Europeia de o Desporto Universitário;3
TSF;3
Orquestra de o Universidade de o Minho;3
Academia Europeia de Optometria e Ótica;3
estudante;3
TIMES;3
PS;3
Europeu de Andebol;3
Orquestra Académica de o UMinho;3
Partido Socialista;3
CELTA;3
Conselho Disciplinar;3
Congresso Internacional de Casos docente em Marketing Público;3
Bamboo;3
Liceu;3
Companhia;3
Ciências Sociais;3
Electrónica Industrial;3
Informática;3
Pax;3
Serviços Médico Sociais;3
Instituto Superior Técnico de Lisboa;3
Benfica;3
Departamento de Infomática;3
Relações Internacionais?;3
*Consideras;3
Campeão Nacional Sénior;3
Departamento de Engenharia Civil;3
AUMEA;3
Seleção Nacional;3
Setor Alimentar;3
Setor;3
Gestão Desportiva;3
Departamento Administrativo e financeiro de o SASUM;3
POCI;3
Espirito;3
Regime Jurídico de o Instituições de o Ensino Superior;3
OMC;3
Missão;3
Magister;3
setor;3
Comissão de Curso;3
Conselho Pedagógico;3
Departamento de Matemática e Aplicações;3
SRH;3
LMCC;3
Departamento de Engenharia Biológica;3
*Clube de o Coração?;3
Segurança Alimentar de o SASUM;3
SGQ;3
Fundo;3
Diretora de o Departamento Alimentar;3
FCPorto;3
Óquei Clube de Barcelos;3
Conselho Cultural de o UMinho;3
Conselho de o Cultura Galega;3
Augustuna?;3
Justiça;3
Coordenadora Técnica;3
Digital Brand Manager;3
Nike Football;3
Rugby;3
Gestão de Sistemas de Informação;3
Educação Empreendedora;3
Departamento de Produção e Sistemas;3
Grupo Folclórico de o UMinho;3
Atividades Desportivas;3
ALUMNI;3
European Research Council;3
Instituto?;3
Equipa de Segurança Alimentar;3
Vice-Presidente de o Departamento Desportivo;3
EUSA Games;3
Gabinete de Apoio a o Ensino;3
Internacional;3
Assistente;3
Sporting Clube de Portugal;3
Universidade de Reading;3
Carta Desportiva;3
Plano de Investimentos;3
consórcio UNorte.pt;3
Organização;3
Grupo de Poesia de o Universidade de o Minho;3
Grupo Folclórico;3
ACADEMIA;3
Lions;3
Licenciatura em Arqueologia de o UM;3
Unidade Orgânica;3
Conselho de o Europa;3
serviços?;3
MIEBIOM;3
Associação de Percussão Universitária de o Minho;3
Atividade Física;3
futsal e Futebol de Praia;3
Futebol Clube de Gaia;3
Conselho de Acção Social;3
Unidade de Serviços de o Universidade de o Minho;3
Conselhos Pedagógicos;3
Bar Académico;3
Escola Doutoral;3
DGS;3
Estatutos de o Universidade;3
PT;3
Etica;3
Comissões;3
Fórum Ética;3
Fórum Ética UMinho;3
AAUMinho?;3
Instituição;3
Cruz Vermelha Portuguesa;3
Rádio Universitária;3
CNU's;3
Tradição Académica;3
Braga Digital;3
Acção Social;3
inter;3
Direito de o Universidade de o Minho;3
Selecção Nacional;3
ELSA Internacional;3
